person_id,email
person_id,first_name.last_name@mybusiness.com
1,Ashraf.Ghani@mybusiness.com
1000,Ashraf.Ghani2@mybusiness.com
2,Edi.Rama@mybusiness.com
3,Abdelmadjid.Tebboune@mybusiness.com
4,Joao.Lourenco@mybusiness.com
5,Gaston.Browne@mybusiness.com
6,Alberto.Fernandez@mybusiness.com
7,Nikol.Pashinyan@mybusiness.com
8,Scott.Morrison@mybusiness.com
9,Sebastian.Kurz@mybusiness.com
10,Ilham.Aliyev@mybusiness.com
11,Hubert.Minnis@mybusiness.com
12,Mia.Mottley@mybusiness.com
13,Alexander.Lukashenko@mybusiness.com
14,Juan.Briceno@mybusiness.com
15,Patrice.Talon@mybusiness.com
16,Lotay.Tshering@mybusiness.com
17,Luis.Arce@mybusiness.com
18,Valentin.Inzko@mybusiness.com
19,Mokgweetsi.Masisi@mybusiness.com
20,Jair.Bolsonaro@mybusiness.com
21,Hassanal.Bolkiah@mybusiness.com
22,Boyko.Borisov@mybusiness.com
23,Evariste.Ndayishimiye@mybusiness.com
24,Hun.Sen@mybusiness.com
25,Paul.Biya@mybusiness.com
26,Justin.Trudeau@mybusiness.com
27,Faustin-Archange.Touadera@mybusiness.com
28,Idriss.Deby@mybusiness.com
29,Sebastian.Pinera@mybusiness.com
30,Xi.Jinping@mybusiness.com
31,Ivan.Duque@mybusiness.com
32,Azali.Assoumani@mybusiness.com
33,Alassane.Ouattara@mybusiness.com
34,Andrej.Plenkovic@mybusiness.com
35,Raul.Castro@mybusiness.com
36,Nicos.Anastasiades@mybusiness.com
37,Andrej.Babis@mybusiness.com
38,Felix.Tshisekedi@mybusiness.com
39,Mette.Frederiksen@mybusiness.com
40,Roosevelt.Skerrit@mybusiness.com
41,Luis.Abinader@mybusiness.com
42,Lenin.Moreno@mybusiness.com
43,Nayib.Bukele@mybusiness.com
44,Isaias.Afwerki@mybusiness.com
45,Juri.Ratas@mybusiness.com
46,Abiy.Ahmed@mybusiness.com
47,Frank.Bainimarama@mybusiness.com
48,Sanna.Marin@mybusiness.com
49,Emmanuel.Macron@mybusiness.com
50,Adama.Barrow@mybusiness.com
51,Giorgi.Gakharia@mybusiness.com
52,Angela.Merkel@mybusiness.com
53,Nana.Akufo-Addo@mybusiness.com
54,Kyriakos.Mitsotakis@mybusiness.com
55,Keith.Mitchell@mybusiness.com
56,Alejandro.Giammattei@mybusiness.com
57,Alpha.Conde@mybusiness.com
58,Irfaan.Ali@mybusiness.com
59,Jovenel.Moise@mybusiness.com
60,Viktor.Orban@mybusiness.com
61,Katrin.Jakobsdottir@mybusiness.com
62,Narendra.Modi@mybusiness.com
63,Joko.Widodo@mybusiness.com
64,Hassan.Rouhani@mybusiness.com
65,Mustafa.Al-Kadhimi@mybusiness.com
66,Micheal.Martin@mybusiness.com
67,Benjamin.Netanyahu@mybusiness.com
68,Giuseppe.Conte@mybusiness.com
69,Andrew.Holness@mybusiness.com
70,Yoshihide.Suga@mybusiness.com
71,Qasym-Zhomart.Toqaev@mybusiness.com
72,Uhuru.Kenyatta@mybusiness.com
73,Taneti.Mamau@mybusiness.com
74,Hashim.Thaci@mybusiness.com
